Hsz-NFKB1,2000,1000,T138445-NFKB1,"p1@NFKB1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
15,T117776,2007,0.9955,p7@CREB1,1385,2345,F8W746,CREB1,"cAMP responsive element binding protein 1","gene with protein product"
16,T178016,1994,0.9940,p4@CDK14,5218,8883,O94921,CDK14,"cyclin dependent kinase 14","gene with protein product"
17,T000422,1993,0.9940,p1@NFKB2,4791,7795,Q00653,NFKB2,"nuclear factor kappa B subunit 2","gene with protein product"
18,T159678,1998,0.9925,p1@TNFAIP3,7128,11896,Q5VXR0,TNFAIP3,"TNF alpha induced protein 3","gene with protein product"
19,T028918,1994,0.9925,p1@THAP2,83591,20854,Q9H0W7,THAP2,"THAP domain containing 2","gene with protein product"
20,T037937,1992,0.9920,p1@NFKBIA,4792,7797,"P25963,G3V3I4",NFKBIA,"NFKB inhibitor alpha","gene with protein product"
21,T053441,1991,0.9915,p2@NFAT5,10725,7774,O94916,NFAT5,"nuclear factor of activated T-cells 5","gene with protein product"
22,T163702,1990,0.9915,p1@IER3,8870,5392,"P46695,Q5ST79",IER3,"immediate early response 3","gene with protein product"
23,T111583,1987,0.9905,p1@CCDC93,54520,25611,,CCDC93,"coiled-coil domain containing 93","gene with protein product"
24,T176073,1987,0.9890,p3@UPP1,7378,12576,,UPP1,"uridine phosphorylase 1","gene with protein product"
25,T158380,1986,0.9886,p1@HIVEP1,3096,4920,C9J2N3,HIVEP1,"human immunodeficiency virus type I enhancer binding protein 1","gene with protein product"
26,T083860,1975,0.9845,p1@ETV3,2117,3492,P41162,ETV3,"ETS variant 3","gene with protein product"
27,T148879,1973,0.9811,p10@SEC24A,10802,10703,O95486,SEC24A,"SEC24 homolog A, COPII coat complex component","gene with protein product"
28,T145586,1968,0.9806,p1@EREG,2069,3443,"O14944,B2RC66",EREG,epiregulin,"gene with protein product"
29,T030264,1961,0.9776,p1@BTG1,694,1130,"P62324,Q6IBC8",BTG1,"BTG anti-proliferation factor 1","gene with protein product"
30,T160051,1965,0.9771,p1@HIVEP2,3097,4921,P31629,HIVEP2,"human immunodeficiency virus type I enhancer binding protein 2","gene with protein product"
31,T076237,1958,0.9766,p1@TICAM1,148022,18348,Q8IUC6,TICAM1,"toll like receptor adaptor molecule 1","gene with protein product"
32,T110388,1957,0.9756,p4@MAP4K4,9448,6866,"B7Z3V5,O95819",MAP4K4,"mitogen-activated protein kinase kinase kinase kinase 4","gene with protein product"
33,T189611,1960,0.9751,p6@MAPKAP1,79109,18752,B1AMA5,MAPKAP1,"mitogen-activated protein kinase associated protein 1","gene with protein product"
34,T126940,1956,0.9741,p1@IRAK2,3656,6113,O43187,IRAK2,"interleukin 1 receptor associated kinase 2","gene with protein product"
35,T189149,1954,0.9731,p1@TRAF1,7185,12031,Q13077,TRAF1,"TNF receptor associated factor 1","gene with protein product"
36,T138444,1954,0.9731,p2@NFKB1,4790,7794,P19838,NFKB1,"nuclear factor kappa B subunit 1","gene with protein product"
37,T168316,1949,0.9711,p1@PNRC1,10957,17278,Q49A59,PNRC1,"proline rich nuclear receptor coactivator 1","gene with protein product"
38,T094808,1946,0.9706,p1@PLK3,1263,2154,,PLK3,"polo like kinase 3","gene with protein product"
39,T154955,1950,0.9701,p4@ELOVL7,79993,26292,,ELOVL7,"ELOVL fatty acid elongase 7","gene with protein product"
40,T075138,1949,0.9701,p1@PLAUR,5329,9053,Q03405,PLAUR,"plasminogen activator, urokinase receptor","gene with protein product"
41,T028769,1941,0.9700,p4@CNOT2,4848,7878,"F8VP97,Q9NZN8",CNOT2,"CCR4-NOT transcription complex subunit 2","gene with protein product"
42,T161140,1949,0.9697,p1@SNX9,51429,14973,Q9Y5X1,SNX9,"sorting nexin 9","gene with protein product"
43,T075455,1946,0.9696,p1@RELB,5971,9956,"Q01201,D6R992,D6RIV7",RELB,"RELB proto-oncogene, NF-kB subunit","gene with protein product"
44,T175688,1948,0.9687,p6@TMED4,222068,22301,,TMED4,"transmembrane p24 trafficking protein 4","gene with protein product"
45,T193704,1944,0.9667,p1@TJP2,9414,11828,,TJP2,"tight junction protein 2","gene with protein product"
46,T100447,1943,0.9662,p1@SRC,6714,11283,,SRC,"SRC proto-oncogene, non-receptor tyrosine kinase","gene with protein product"
47,T127859,1939,0.9656,p2@ARHGAP31,57514,29216,F5H7Q1,ARHGAP31,"Rho GTPase activating protein 31","gene with protein product"
48,T175578,1937,0.9656,p2@MRPS24,64951,14510,,MRPS24,"mitochondrial ribosomal protein S24","gene with protein product"
49,T127867,1935,0.9636,p1@ARHGAP31-AS1,,41235,,ARHGAP31-AS1,"ARHGAP31 antisense RNA 1","RNA, long non-coding"
50,T107125,1934,0.9631,p1@ADORA2A,135,263,,ADORA2A,"adenosine A2a receptor","gene with protein product"
51,T115979,1933,0.9622,p3@SESTD1,91404,18379,Q86VW0,SESTD1,"SEC14 and spectrin domain containing 1","gene with protein product"
52,T145547,1926,0.9577,p1@CXCL2,2920,4603,,CXCL2,"C-X-C motif chemokine ligand 2","gene with protein product"
53,T138481,1918,0.9547,p9@NFKB1,4790,7794,,NFKB1,"nuclear factor kappa B subunit 1","gene with protein product"
54,T008931,1916,0.9523,p1@BIRC2,329,590,"Q13490,E9PNM6,B4E026,E9PI77,E9PMH5,E9PQZ9,E9PIW1,F5GYF2",BIRC2,"baculoviral IAP repeat containing 2","gene with protein product"
55,T053446,1909,0.9516,p2@MIR1538,100302119,35382,,MIR1538,"microRNA 1538","RNA, micro"
56,T188099,1911,0.9512,p2@ABCA1,19,29,"B1AMI1,B1AMI2",ABCA1,"ATP binding cassette subfamily A member 1","gene with protein product"
57,T008926,1908,0.9507,p2@BIRC2,329,590,,BIRC2,"baculoviral IAP repeat containing 2","gene with protein product"
58,T189693,1906,0.9478,p1@ZBTB43,23099,17908,"O43298,Q5JU97,Q5JU96",ZBTB43,"zinc finger and BTB domain containing 43","gene with protein product"
59,T004536,1904,0.9468,p1@KLF6,1316,2235,E7ETR4,KLF6,"Kruppel like factor 6","gene with protein product"
60,T126845,1900,0.9453,p25@NFKBIZ,64332,29805,Q9BYH8,NFKBIZ,"NFKB inhibitor zeta","gene with protein product"
61,T035492,1896,0.9442,p1@TRAF3,7187,12033,"A6NHG8,Q13114",TRAF3,"TNF receptor associated factor 3","gene with protein product"
62,T060670,1895,0.9423,p1@SPAG9,9043,14524,"A6H8U5,O60271",SPAG9,"sperm associated antigen 9","gene with protein product"
63,T014151,1895,0.9418,p5@RHOG,391,672,"P84095,Q6ICQ8",RHOG,"ras homolog family member G","gene with protein product"
64,T037941,1896,0.9414,p11@NFKBIA,4792,7797,P25963,NFKBIA,"NFKB inhibitor alpha","gene with protein product"
65,T135784,1888,0.9412,p7@BHLHE40,8553,1046,,BHLHE40,"basic helix-loop-helix family member e40","gene with protein product"
66,T086124,1888,0.9407,p3@TOR3A,64222,11997,Q9H497,TOR3A,"torsin family 3 member A","gene with protein product"
67,T005585,1884,0.9373,p2@PFKFB3,5209,8874,"E9PGD4,Q5VX15,F5H5L1",PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3","gene with protein product"
68,T185209,1879,0.9362,p24@RB1CC1,9821,15574,,RB1CC1,"RB1 inducible coiled-coil 1","gene with protein product"
69,T104178,1875,0.9352,p3@MIR155HG,,35460,,MIR155HG,"MIR155 host gene","RNA, long non-coding"
70,T016622,1869,0.9331,p9@EHD1,10938,3242,,EHD1,"EH domain containing 1","gene with protein product"
71,T114461,1864,0.9306,p1@FAM49A,81553,25373,Q9H0Q0,FAM49A,"family with sequence similarity 49 member A","gene with protein product"
72,T133268,1861,0.9282,p1@ATP13A3,79572,24113,C9J7Z7,ATP13A3,"ATPase 13A3","gene with protein product"
73,T159947,1870,0.9267,p1@CD83,9308,1703,Q01151,CD83,"CD83 molecule","gene with protein product"
74,T185917,1857,0.9257,p5@PDE7A,5150,8791,,PDE7A,"phosphodiesterase 7A","gene with protein product"
75,T127927,1856,0.9238,p7@ADPRH,141,269,P54922,ADPRH,"ADP-ribosylarginine hydrolase","gene with protein product"
76,T161489,1858,0.9225,p3@WTAP,9589,16846,"Q15007,Q5TCL9",WTAP,"Wilms tumor 1 associated protein","gene with protein product"
77,T027773,1850,0.9218,p1@MIRLET7I,406891,31486,,MIRLET7I,"microRNA let-7i","RNA, micro"
78,T045686,1852,0.9214,p2@MAP2K1,5604,6840,"A4QPA9,Q02750",MAP2K1,"mitogen-activated protein kinase kinase 1","gene with protein product"
79,T131572,1845,0.9197,p1@SKIL,6498,10897,"P12757,C9J8R9",SKIL,"SKI like proto-oncogene","gene with protein product"
80,T126373,1844,0.9197,p1@ADAM17,6868,195,"P78536,E7EUI5,A6H8L4,B2RNB2,A8K1B4",ADAM17,"ADAM metallopeptidase domain 17","gene with protein product"
81,T194347,1845,0.9188,p2@UBQLN1,29979,12508,,UBQLN1,"ubiquilin 1","gene with protein product"
82,T130350,1844,0.9160,p3@TSC22D2,9819,29095,O75157,TSC22D2,"TSC22 domain family member 2","gene with protein product"
83,T111205,1834,0.9115,p1@IL1B,3553,5992,P01584,IL1B,"interleukin 1 beta","gene with protein product"
84,T079791,1830,0.9100,p2@SLC30A7,148867,19306,Q8NEW0,SLC30A7,"solute carrier family 30 member 7","gene with protein product"
85,T090294,1824,0.9093,p4@TP53BP2,7159,12000,,TP53BP2,"tumor protein p53 binding protein 2","gene with protein product"
86,T139926,1823,0.9083,p1@CCRN4L,25819,14254,"Q9UK39,Q8WTX0",NOCT,nocturnin,"gene with protein product"
87,T180329,1824,0.9070,p4@ZHX2,22882,18513,Q9Y6X8,ZHX2,"zinc fingers and homeoboxes 2","gene with protein product"
88,T190924,1824,0.9061,p3@SLC2A6,11182,11011,Q59GK1,SLC2A6,"solute carrier family 2 member 6","gene with protein product"
89,T092260,1820,0.9055,p1@NLRP3,114548,16400,"Q96P20,B2RC97",NLRP3,"NLR family pyrin domain containing 3","gene with protein product"
90,T198634,1808,0.9031,p4@AP1S2,8905,560,"P56377,Q549M9",AP1S2,"adaptor related protein complex 1 sigma 2 subunit","gene with protein product"
91,T099895,1819,0.9027,p4@CHMP4B,128866,16171,"P59074,Q9H444",CHMP4B,"charged multivesicular body protein 4B","gene with protein product"
92,T033805,1815,0.9012,p3@DHRS12,79758,25832,,DHRS12,"dehydrogenase/reductase 12","gene with protein product"
93,T116657,1804,0.8989,p1@STAT4,6775,11365,,STAT4,"signal transducer and activator of transcription 4","gene with protein product"
94,T147147,1790,0.8932,p2@EIF4E,1977,3287,P06730,EIF4E,"eukaryotic translation initiation factor 4E","gene with protein product"
95,T036464,1788,0.8904,p4@HNRNPC,3183,5035,,HNRNPC,"heterogeneous nuclear ribonucleoprotein C (C1/C2)","gene with protein product"
96,T019564,1785,0.8898,p1@DENND5A,23258,19344,"B4DJ15,E9PS91,Q6IQ26",DENND5A,"DENN domain containing 5A","gene with protein product"
97,T197059,1786,0.8890,p1@ELF4,2000,3319,Q99607,ELF4,"E74 like ETS transcription factor 4","gene with protein product"
98,T187880,1782,0.8861,p1@NR4A3,8013,7982,E9PBS2,NR4A3,"nuclear receptor subfamily 4 group A member 3","gene with protein product"
99,T089070,1777,0.8850,p2@CAMK1G,57172,14585,,CAMK1G,"calcium/calmodulin dependent protein kinase IG","gene with protein product"
100,T129901,1771,0.8824,p4@SLC6A6,6533,11052,C9JPV1,SLC6A6,"solute carrier family 6 member 6","gene with protein product"
101,T180331,1768,0.8809,p14@ZHX2,22882,18513,Q9Y6X8,ZHX2,"zinc fingers and homeoboxes 2","gene with protein product"
102,T038472,1770,0.8793,p5@SAV1,60485,17795,B3KTQ1,SAV1,"salvador family WW domain containing protein 1","gene with protein product"
103,T008632,1761,0.8779,p8@LCOR,84458,29503,Q96JN0,LCOR,"ligand dependent nuclear receptor corepressor","gene with protein product"
104,T117254,1754,0.8713,p4@CFLAR,8837,1876,,CFLAR,"CASP8 and FADD like apoptosis regulator","gene with protein product"
105,T110009,1746,0.8687,p1@PIM3,415116,19310,,PIM3,"Pim-3 proto-oncogene, serine/threonine kinase","gene with protein product"
106,T173394,1741,0.8679,p1@AHR,196,348,P35869,AHR,"aryl hydrocarbon receptor","gene with protein product"
107,T073896,1737,0.8646,p9@HNRNPL,3191,5045,B4DVF8,HNRNPL,"heterogeneous nuclear ribonucleoprotein L","gene with protein product"
108,T057442,1740,0.8640,p1@CCL3,6348,10627,P10147,CCL3,"C-C motif chemokine ligand 3","gene with protein product"
109,T004507,1733,0.8639,p7@KLF6,1316,2235,,KLF6,"Kruppel like factor 6","gene with protein product"
110,T143300,1735,0.8636,p16@SH3BP2,6452,10825,,SH3BP2,"SH3 domain binding protein 2","gene with protein product"
111,T017821,1728,0.8597,p4@MYEOV,26579,7563,,MYEOV,"myeloma overexpressed","gene with protein product"
112,T193702,1725,0.8582,p13@TJP2,9414,11828,Q9UDY2,TJP2,"tight junction protein 2","gene with protein product"
113,T035540,1723,0.8564,p12@TNFAIP2,7127,11895,,TNFAIP2,"TNF alpha induced protein 2","gene with protein product"
114,T106707,1716,0.8554,p4@MED15,51586,14248,"C9JEM1,F8WEJ4,G3V1P5",MED15,"mediator complex subunit 15","gene with protein product"
115,T105200,1712,0.8522,p1@ETS2,2114,3489,P15036,ETS2,"ETS proto-oncogene 2, transcription factor","gene with protein product"
116,T008932,1712,0.8505,p4@BIRC2,329,590,E9PNM6,BIRC2,"baculoviral IAP repeat containing 2","gene with protein product"
117,T063998,1694,0.8428,p1@SOCS3,9021,19391,"O14543,Q6FI39",SOCS3,"suppressor of cytokine signaling 3","gene with protein product"
118,T026739,1686,0.8405,p1@GPR84,53831,4535,Q9NQS5,GPR84,"G protein-coupled receptor 84","gene with protein product"
119,T070463,1687,0.8393,p1@ZSWIM4,65249,25704,"Q9H7M6,Q9HA55",ZSWIM4,"zinc finger SWIM-type containing 4","gene with protein product"
120,T000733,1688,0.8390,p12@SFR1,119392,29574,,SFR1,"SWI5 dependent homologous recombination repair protein 1","gene with protein product"
121,T126858,1679,0.8353,p1@NFKBIZ,64332,29805,Q9BYH8,NFKBIZ,"NFKB inhibitor zeta","gene with protein product"
122,T004497,1674,0.8345,p5@KLF6,1316,2235,,KLF6,"Kruppel like factor 6","gene with protein product"
123,T141375,1675,0.8333,p2@NAF1,92345,25126,,NAF1,"nuclear assembly factor 1 ribonucleoprotein","gene with protein product"
124,T188100,1675,0.8333,p1@ABCA1,19,29,B1AMI1,ABCA1,"ATP binding cassette subfamily A member 1","gene with protein product"
125,T001019,1673,0.8315,p3@DUSP5,1847,3071,Q16690,DUSP5,"dual specificity phosphatase 5","gene with protein product"
126,T086952,1669,0.8308,p1@PTGS2,5743,9605,P35354,PTGS2,"prostaglandin-endoperoxide synthase 2","gene with protein product"
127,T044912,1668,0.8299,p1@AQP9,366,643,,AQP9,"aquaporin 9","gene with protein product"
128,T187027,1662,0.8281,p1@RIPK2,8767,10020,"E5RGK6,E7ERW9",RIPK2,"receptor interacting serine/threonine kinase 2","gene with protein product"
129,T081746,1657,0.8256,"p1@NBPF10,p1@NOTCH2NL","388677,100132406","31862,31992","Q7Z3S9,E9PLD5",NOTCH2NL,"notch 2 N-terminal like","gene with protein product"
130,T003757,1650,0.8217,p2@PDSS1,23590,17759,Q5T2R2,PDSS1,"decaprenyl diphosphate synthase subunit 1","gene with protein product"
131,T161445,1640,0.8175,p1@SOD2,6648,11180,"P04179,B4E3K9,G5E9P6,F5GXZ9",SOD2,"superoxide dismutase 2","gene with protein product"
132,T151369,1643,0.8158,p1@NIPAL4,348938,28018,,NIPAL4,"NIPA like domain containing 4","gene with protein product"
133,T163340,1637,0.8152,p1@SERPINB9,5272,8955,P50453,SERPINB9,"serpin family B member 9","gene with protein product"
134,T007603,1621,0.8085,p1@FAM190B,54462,29197,Q9H7U1,CCSER2,"coiled-coil serine rich protein 2","gene with protein product"
135,T027904,1623,0.8063,p2@TBK1,29110,11584,F5H206,TBK1,"TANK binding kinase 1","gene with protein product"
136,T056302,1615,0.8055,p1@MAP2K3,5606,6843,"E9PMA8,E9PRM0",MAP2K3,"mitogen-activated protein kinase kinase 3","gene with protein product"
137,T033002,1616,0.8052,p14@ELF1,1997,3316,Q5T9E7,ELF1,"E74 like ETS transcription factor 1","gene with protein product"
138,T049705,1611,0.8031,p4@DCUN1D3,123879,28734,Q8IWE4,DCUN1D3,"defective in cullin neddylation 1 domain containing 3","gene with protein product"
139,T121235,1611,0.8023,p1@NEU4,129807,21328,C9JEA3,NEU4,"neuraminidase 4","gene with protein product"
140,T135034,1609,0.8017,p2@FYCO1,79443,14673,Q9BQS8,FYCO1,"FYVE and coiled-coil domain containing 1","gene with protein product"
141,T076519,1608,0.8000,p17@PPP1R15A,23645,14375,O75807,PPP1R15A,"protein phosphatase 1 regulatory subunit 15A","gene with protein product"
142,T003098,1604,0.7972,p5@VIM,7431,12692,P08670,VIM,vimentin,"gene with protein product"
143,T126938,1602,0.7970,p3@IRAK2,3656,6113,O43187,IRAK2,"interleukin 1 receptor associated kinase 2","gene with protein product"
144,T028662,1599,0.7959,p6@RAB3IP,117177,16508,,RAB3IP,"RAB3A interacting protein","gene with protein product"
145,T065584,1595,0.7935,p3@PIK3R5,23533,30035,Q8WYR1,PIK3R5,"phosphoinositide-3-kinase regulatory subunit 5","gene with protein product"
146,T193626,1594,0.7934,p8@KANK1,23189,19309,,KANK1,"KN motif and ankyrin repeat domains 1","gene with protein product"
147,T179145,1595,0.7896,p2@PABPC1,26986,8554,E7ERJ7,PABPC1,"poly(A) binding protein cytoplasmic 1","gene with protein product"
148,T174078,1589,0.7894,p6@DFNA5,1687,2810,C9JSR4,DFNA5,"DFNA5, deafness associated tumor suppressor","gene with protein product"
149,T168322,1588,0.7893,p3@PNRC1,10957,17278,Q9BXV2,PNRC1,"proline rich nuclear receptor coactivator 1","gene with protein product"
150,T156938,1581,0.7866,p4@CAST,831,1515,,CAST,calpastatin,"gene with protein product"
151,T001158,1574,0.7839,p1@ACSL5,51703,16526,Q9ULC5,ACSL5,"acyl-CoA synthetase long-chain family member 5","gene with protein product"
152,T161721,1573,0.7838,p15@QKI,9444,21100,"Q96PU8,Q8WY44",QKI,"QKI, KH domain containing RNA binding","gene with protein product"
153,T124534,1571,0.7828,p4@PLEK,5341,9070,,PLEK,pleckstrin,"gene with protein product"
154,T094032,1574,0.7819,p1@ZC3H12A,80149,26259,,ZC3H12A,"zinc finger CCCH-type containing 12A","gene with protein product"
155,T152158,1567,0.7800,p1@STK10,6793,11388,,STK10,"serine/threonine kinase 10","gene with protein product"
156,T093612,1565,0.7798,p1@RNF19B,127544,26886,"G3XA82,E9PAW6,Q6ZMZ0,F5GY25",RNF19B,"ring finger protein 19B","gene with protein product"
157,T069469,1569,0.7790,p8@ICAM1,3383,5344,Q15463,ICAM1,"intercellular adhesion molecule 1","gene with protein product"
158,T177389,1565,0.7778,p1@PION,54103,28042,A4D1B5,GSAP,"gamma-secretase activating protein","gene with protein product"
159,T102123,1558,0.7767,p1@PTPN1,5770,9642,"P18031,B4DSN5,A8K3M3",PTPN1,"protein tyrosine phosphatase, non-receptor type 1","gene with protein product"
160,T134626,1557,0.7754,p3@EIF1B,10289,30792,,EIF1B,"eukaryotic translation initiation factor 1B","gene with protein product"
161,T076308,1554,0.7743,p2@EMP3,2014,3335,P54852,EMP3,"epithelial membrane protein 3","gene with protein product"
162,T158384,1557,0.7742,p4@HIVEP1,3096,4920,P15822,HIVEP1,"human immunodeficiency virus type I enhancer binding protein 1","gene with protein product"
163,T104698,1554,0.7739,p5@IFNGR2,3460,5440,"P38484,A8K881",IFNGR2,"interferon gamma receptor 2","gene with protein product"
164,T150880,1557,0.7739,p1@TNIP1,10318,16903,"E7EW68,Q6N077",TNIP1,"TNFAIP3 interacting protein 1","gene with protein product"
165,T127924,1553,0.7730,p3@ADPRH,141,269,P54922,ADPRH,"ADP-ribosylarginine hydrolase","gene with protein product"
166,T183466,1553,0.7730,p6@SLC25A37,51312,29786,,SLC25A37,"solute carrier family 25 member 37","gene with protein product"
167,T114168,1552,0.7721,p2@IFIH1,64135,18873,Q9BYX4,IFIH1,"interferon induced with helicase C domain 1","gene with protein product"
168,T020207,1550,0.7708,p1@OLR1,4973,8133,"P78380,B4DI48,F5GZH1",OLR1,"oxidized low density lipoprotein receptor 1","gene with protein product"
169,T030610,1550,0.7708,p2@ELK3,2004,3325,P41970,ELK3,"ELK3, ETS transcription factor","gene with protein product"
170,T140432,1545,0.7690,p1@CPEB2,132864,21745,"E7EPM3,F5H160,F5H659,Q7Z5Q1",CPEB2,"cytoplasmic polyadenylation element binding protein 2","gene with protein product"
171,T184748,1545,0.7687,p1@AGPAT6,137964,20880,"Q86UL3,E5RIA1,Q2TU73",GPAT4,"glycerol-3-phosphate acyltransferase 4","gene with protein product"
172,T169512,1534,0.7639,p2@HBP1,26959,23200,O60381,HBP1,"HMG-box transcription factor 1","gene with protein product"
173,T032145,1531,0.7628,p2@NUPL1,9818,20261,,NUP58,"nucleoporin 58","gene with protein product"
174,T190926,1528,0.7610,p1@SLC2A6,11182,11011,,SLC2A6,"solute carrier family 2 member 6","gene with protein product"
175,T199809,1521,0.7567,p1@CHST7,56548,13817,Q9NS84,CHST7,"carbohydrate sulfotransferase 7","gene with protein product"
176,T158171,1512,0.7522,p1@DSE,29940,21144,Q9UL01,DSE,"dermatan sulfate epimerase","gene with protein product"
177,T104703,1512,0.7519,p1@IFNGR2,3460,5440,"E7EUY1,B5MCZ0,F8WF11,F8WE34",IFNGR2,"interferon gamma receptor 2","gene with protein product"
178,T135998,1508,0.7514,p1@ARL8B,55207,25564,"B4DI85,Q9NVJ2,F2Z344",ARL8B,"ADP ribosylation factor like GTPase 8B","gene with protein product"
179,T086156,1502,0.7462,p4@AXDND1,126859,26564,"A6H900,D6RDY4",AXDND1,"axonemal dynein light chain domain containing 1","gene with protein product"
180,T101980,1496,0.7439,p1@SLC9A8,23315,20728,"Q9Y2E8,B7Z3B1,B4DIV9",SLC9A8,"solute carrier family 9 member A8","gene with protein product"
181,T057450,1492,0.7438,p1@CCL4,6351,10630,"P13236,Q7M4M2",CCL4,"C-C motif chemokine ligand 4","gene with protein product"
182,T003276,1493,0.7420,p1@ARL5B,221079,23052,"Q96KC2,B0YIW9",ARL5B,"ADP ribosylation factor like GTPase 5B","gene with protein product"
183,T098865,1492,0.7412,p1@RIN2,54453,18750,,RIN2,"Ras and Rab interactor 2","gene with protein product"
184,T146403,1489,0.7408,p1@ACOX3,8310,121,D6RJ89,ACOX3,"acyl-CoA oxidase 3, pristanoyl","gene with protein product"
185,T083048,1479,0.7380,p2@IL6R,3570,6019,D6R9R8,IL6R,"interleukin 6 receptor","gene with protein product"
186,T073909,1481,0.7379,p1@NFKBIB,4793,7798,"Q15653,G5E9C2",NFKBIB,"NFKB inhibitor beta","gene with protein product"
187,T036463,1472,0.7331,p3@HNRNPC,3183,5035,,HNRNPC,"heterogeneous nuclear ribonucleoprotein C (C1/C2)","gene with protein product"
188,T005439,1470,0.7317,p1@UBE2D1,7321,12474,P51668,UBE2D1,"ubiquitin conjugating enzyme E2 D1","gene with protein product"
189,T097644,1472,0.7309,p1@LRRC8C,84230,25075,"A6NED7,Q8TDW0",LRRC8C,"leucine rich repeat containing 8 family member C","gene with protein product"
190,T038652,1466,0.7290,p6@PTGER2,5732,9594,P43116,PTGER2,"prostaglandin E receptor 2","gene with protein product"
191,T084921,1462,0.7285,p2@UAP1,6675,12457,Q16222,UAP1,"UDP-N-acetylglucosamine pyrophosphorylase 1","gene with protein product"
192,T021638,1458,0.7272,p1@ETV6,2120,3495,P41212,ETV6,"ETS variant 6","gene with protein product"
193,T094114,1462,0.7270,p1@MTF1,4520,7428,Q14872,MTF1,"metal regulatory transcription factor 1","gene with protein product"
194,T146191,1454,0.7234,p3@RASGEF1B,153020,24881,Q8N437,RASGEF1B,"RasGEF domain family member 1B","gene with protein product"
195,T057254,1451,0.7233,p1@RFFL,117584,24821,Q8WZ73,RFFL,"ring finger and FYVE like domain containing E3 ubiquitin protein ligase","gene with protein product"
196,T061848,1452,0.7231,p1@DDX5,1655,2746,"P17844,E7ETL9",DDX5,"DEAD-box helicase 5","gene with protein product"
197,T057280,1453,0.7229,p1@SLFN5,162394,28286,"Q08AF3,B4E128",SLFN5,"schlafen family member 5","gene with protein product"
198,T003553,1442,0.7185,p4@OTUD1,220213,27346,Q5VV17,OTUD1,"OTU deubiquitinase 1","gene with protein product"
199,T105739,1434,0.7138,p8@PDXK,8566,8819,,PDXK,"pyridoxal kinase","gene with protein product"
200,T069092,1439,0.7134,p3@NFATC1,4772,7775,,NFATC1,"nuclear factor of activated T-cells 1","gene with protein product"
201,T131718,1427,0.7107,p1@FNDC3B,64778,24670,"A8MYM6,Q53EP0",FNDC3B,"fibronectin type III domain containing 3B","gene with protein product"
202,T138443,1425,0.7100,p3@NFKB1,4790,7794,P19838,NFKB1,"nuclear factor kappa B subunit 1","gene with protein product"
203,T176083,1418,0.7055,p1@KIAA0415,9907,22197,O43299,AP5Z1,"adaptor related protein complex 5 zeta 1 subunit","gene with protein product"
204,T065788,1416,0.7038,p5@CHMP1B,57132,24287,Q7LBR1,CHMP1B,"charged multivesicular body protein 1B","gene with protein product"
205,T027770,1411,0.7034,p6@C12orf61,283416,26364,Q8N7H1,LINC01465,"long intergenic non-protein coding RNA 1465","RNA, long non-coding"
206,T038835,1410,0.7029,p1@MAPK1IP1L,93487,19840,Q8NDC0,MAPK1IP1L,"mitogen-activated protein kinase 1 interacting protein 1 like","gene with protein product"
207,T072615,1405,0.6990,p2@GNA15,2769,4383,"P30679,E9KL47",GNA15,"G protein subunit alpha 15","gene with protein product"
