Hs-TNF,2000,1000,T163956-TNF,"p1@TNF"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
36,T163970,1970,0.9835,p11@TNF,7124,11892,P01375,TNF,"tumor necrosis factor","gene with protein product"
37,T106423,1974,0.9831,p4@CECR1,51816,1839,C9J716,CECR1,"cat eye syndrome chromosome region, candidate 1","gene with protein product"
38,T028477,1971,0.9826,p3@CPM,1368,2311,,CPM,"carboxypeptidase M","gene with protein product"
39,T027932,1979,0.9821,p5@RASSF3,283349,14271,,RASSF3,"Ras association domain family member 3","gene with protein product"
40,T031418,1969,0.9806,p8@LINC00346,283487,27492,,LINC00346,"long intergenic non-protein coding RNA 346","RNA, long non-coding"
41,T089187,1967,0.9806,p12@TRAF3IP3,80342,30766,E2QRE5,TRAF3IP3,"TRAF3 interacting protein 3","gene with protein product"
42,T091731,1964,0.9805,p9@KMO,8564,6381,O15229,KMO,"kynurenine 3-monooxygenase","gene with protein product"
43,T163994,1972,0.9796,p6@TNF,7124,11892,,TNF,"tumor necrosis factor","gene with protein product"
44,T135153,1965,0.9791,p7@CCRL2,9034,1612,O00421,CCRL2,"C-C motif chemokine receptor like 2","gene with protein product"
45,T138596,1963,0.9776,p8@TET2,54790,25941,Q6N021,TET2,"tet methylcytosine dioxygenase 2","gene with protein product"
46,T087116,1966,0.9767,p1@RGS1,5996,9991,,RGS1,"regulator of G-protein signaling 1","gene with protein product"
47,T199444,1959,0.9766,p7@RPGR,6103,10295,,RPGR,"retinitis pigmentosa GTPase regulator","gene with protein product"
48,T163993,1954,0.9765,p15@TNF,7124,11892,,TNF,"tumor necrosis factor","gene with protein product"
49,T163963,1959,0.9761,p10@TNF,7124,11892,,TNF,"tumor necrosis factor","gene with protein product"
50,T057441,1964,0.9757,p2@CCL3,6348,10627,,CCL3,"C-C motif chemokine ligand 3","gene with protein product"
51,T163991,1961,0.9756,p2@TNF,7124,11892,,TNF,"tumor necrosis factor","gene with protein product"
52,T016753,1959,0.9756,p9@POLA2,23649,30073,,POLA2,"DNA polymerase alpha 2, accessory subunit","gene with protein product"
53,T199443,1959,0.9737,p5@RPGR,6103,10295,,RPGR,"retinitis pigmentosa GTPase regulator","gene with protein product"
54,T095442,1959,0.9732,p2@YIPF1,54432,25231,,YIPF1,"Yip1 domain family member 1","gene with protein product"
55,T164424,1952,0.9731,p3@HLA-DQA1,3117,4942,Q7YPT8,HLA-DQA1,"major histocompatibility complex, class II, DQ alpha 1","gene with protein product"
56,T012045,1951,0.9731,p9@PSMA1,5682,9530,P25786,PSMA1,"proteasome subunit alpha 1","gene with protein product"
57,T135152,1948,0.9721,p6@CCRL2,9034,1612,O00421,CCRL2,"C-C motif chemokine receptor like 2","gene with protein product"
58,T163962,1948,0.9716,p16@TNF,7124,11892,,TNF,"tumor necrosis factor","gene with protein product"
59,T008030,1946,0.9701,p4@LIPA,3988,6617,F8W911,LIPA,"lipase A, lysosomal acid type","gene with protein product"
60,T163964,1946,0.9696,p7@TNF,7124,11892,,TNF,"tumor necrosis factor","gene with protein product"
61,T032755,1949,0.9692,p5@SPG20,23111,18514,,SPG20,"spastic paraplegia 20 (Troyer syndrome)","gene with protein product"
62,T188166,1944,0.9672,p2@FSD1L,83856,13753,Q8N450,FSD1L,"fibronectin type III and SPRY domain containing 1 like","gene with protein product"
63,T105206,1940,0.9666,p7@ETS2,2114,3489,P15036,ETS2,"ETS proto-oncogene 2, transcription factor","gene with protein product"
64,T033249,1945,0.9662,p2@GTF2F2,2963,4653,,GTF2F2,"general transcription factor IIF subunit 2","gene with protein product"
65,T111575,1938,0.9656,p2@DDX18,8886,2741,,DDX18,"DEAD-box helicase 18","gene with protein product"
66,T061883,1937,0.9637,p2@AMZ2P1,201283,26491,,AMZ2P1,"archaelysin family metallopeptidase 2 pseudogene 1",pseudogene
67,T176933,1936,0.9627,p9@CALN1,83698,13248,Q9BXU9,CALN1,"calneuron 1","gene with protein product"
68,T056650,1929,0.9621,p2@SPAG5,10615,13452,Q96R06,SPAG5,"sperm associated antigen 5","gene with protein product"
69,T149595,1932,0.9617,p1@VTRNA1-1,56664,12654,,VTRNA1-1,"vault RNA 1-1","RNA, vault"
70,T028436,1927,0.9616,p2@MDM2,4193,6973,"A7UKX8,E7EPE2,E7EMW5,A7UKY0,A7UKX7",MDM2,"MDM2 proto-oncogene","gene with protein product"
71,T039218,1930,0.9607,p3@TRMT5,57570,23141,Q32P41,TRMT5,"tRNA methyltransferase 5","gene with protein product"
72,T112038,1931,0.9597,p3@SFT2D3,84826,28767,Q587I9,SFT2D3,"SFT2 domain containing 3","gene with protein product"
73,T095444,1923,0.9596,p3@YIPF1,54432,25231,C9JFB2,YIPF1,"Yip1 domain family member 1","gene with protein product"
74,T057442,1928,0.9587,p1@CCL3,6348,10627,P10147,CCL3,"C-C motif chemokine ligand 3","gene with protein product"
75,T112733,1923,0.9577,p11@KYNU,8942,6469,Q16719,KYNU,kynureninase,"gene with protein product"
76,T035015,1922,0.9572,p5@GPR183,1880,3128,,GPR183,"G protein-coupled receptor 183","gene with protein product"
77,T173559,1922,0.9572,p4@TWISTNB,221830,18027,,TWISTNB,"TWIST neighbor","gene with protein product"
78,T074405,1923,0.9558,p1@ITPKC,80271,14897,Q96DU7,ITPKC,"inositol-trisphosphate 3-kinase C","gene with protein product"
79,T199810,1913,0.9532,p3@CHST7,56548,13817,Q9NS84,CHST7,"carbohydrate sulfotransferase 7","gene with protein product"
80,T010852,1911,0.9522,p7@SORL1,6653,11185,E9PKB0,SORL1,"sortilin related receptor 1","gene with protein product"
81,T066787,1910,0.9512,p6@MAPRE2,10982,6891,"E9PHR3,Q15555",MAPRE2,"microtubule associated protein RP/EB family member 2","gene with protein product"
82,T086172,1909,0.9498,p18@ARHGEF10L,55160,25540,,ARHGEF10L,"Rho guanine nucleotide exchange factor 10 like","gene with protein product"
83,T183002,1904,0.9487,p6@MYOM2,9172,7614,,MYOM2,"myomesin 2","gene with protein product"
84,T076517,1902,0.9486,p16@PPP1R15A,23645,14375,O75807,PPP1R15A,"protein phosphatase 1 regulatory subunit 15A","gene with protein product"
85,T155308,1901,0.9477,p1@MIR4278,100422999,38243,,MIR4278,"microRNA 4278","RNA, micro"
86,T187877,1902,0.9458,p2@NR4A3,8013,7982,E9PBS2,NR4A3,"nuclear receptor subfamily 4 group A member 3","gene with protein product"
87,T126858,1899,0.9457,p1@NFKBIZ,64332,29805,Q9BYH8,NFKBIZ,"NFKB inhibitor zeta","gene with protein product"
88,T091735,1897,0.9457,p4@KMO,8564,6381,,KMO,"kynurenine 3-monooxygenase","gene with protein product"
89,T126847,1899,0.9443,p2@NFKBIZ,64332,29805,"C9J5G8,C9JZ23,Q9BYH8",NFKBIZ,"NFKB inhibitor zeta","gene with protein product"
90,T086134,1896,0.9438,p3@ABL2,27,77,,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase","gene with protein product"
91,T199808,1893,0.9437,p2@CHST7,56548,13817,Q9NS84,CHST7,"carbohydrate sulfotransferase 7","gene with protein product"
92,T027904,1895,0.9423,p2@TBK1,29110,11584,F5H206,TBK1,"TANK binding kinase 1","gene with protein product"
93,T187880,1887,0.9402,p1@NR4A3,8013,7982,E9PBS2,NR4A3,"nuclear receptor subfamily 4 group A member 3","gene with protein product"
94,T152988,1886,0.9402,p5@MAML1,9794,13632,Q92585,MAML1,"mastermind like transcriptional coactivator 1","gene with protein product"
95,T076502,1884,0.9392,p20@PPP1R15A,23645,14375,,PPP1R15A,"protein phosphatase 1 regulatory subunit 15A","gene with protein product"
96,T027739,1878,0.9357,p15@FAM19A2,338811,21589,,FAM19A2,"family with sequence similarity 19 member A2, C-C motif chemokine like","gene with protein product"
97,T061807,1875,0.9342,p2@ERN1,2081,3449,,ERN1,"endoplasmic reticulum to nucleus signaling 1","gene with protein product"
98,T057465,1877,0.9338,"p1@CCL3L1,p1@CCL3L3","414062,6349","10628,30554","A8MWC1,A8MVB7,P16619",CCL3L1,"C-C motif chemokine ligand 3 like 1","gene with protein product"
99,T146192,1874,0.9337,p2@RASGEF1B,153020,24881,Q8N437,RASGEF1B,"RasGEF domain family member 1B","gene with protein product"
100,T066128,1872,0.9327,p2@MIR4741,100616139,41661,,MIR4741,"microRNA 4741","RNA, micro"
101,T081696,1871,0.9327,p35@PDE4DIP,9659,15580,E9PJ85,PDE4DIP,"phosphodiesterase 4D interacting protein","gene with protein product"
102,T141375,1876,0.9315,p2@NAF1,92345,25126,,NAF1,"nuclear assembly factor 1 ribonucleoprotein","gene with protein product"
103,T057450,1868,0.9294,p1@CCL4,6351,10630,"P13236,Q7M4M2",CCL4,"C-C motif chemokine ligand 4","gene with protein product"
104,T159721,1869,0.9289,p26@TNFAIP3,7128,11896,Q5PY18,TNFAIP3,"TNF alpha induced protein 3","gene with protein product"
105,T075124,1859,0.9276,p7@PLAUR,5329,9053,Q03405,PLAUR,"plasminogen activator, urokinase receptor","gene with protein product"
106,T076511,1863,0.9273,p13@PPP1R15A,23645,14375,O75807,PPP1R15A,"protein phosphatase 1 regulatory subunit 15A","gene with protein product"
107,T092267,1858,0.9248,p6@NLRP3,114548,16400,Q96P20,NLRP3,"NLR family pyrin domain containing 3","gene with protein product"
108,T085561,1858,0.9244,p2@FMO4,2329,3772,,FMO4,"flavin containing monooxygenase 4","gene with protein product"
109,T161130,1851,0.9227,p6@SNX9,51429,14973,O95061,SNX9,"sorting nexin 9","gene with protein product"
110,T068389,1850,0.9227,p2@SERPINB2,5055,8584,,SERPINB2,"serpin family B member 2","gene with protein product"
111,T185917,1848,0.9226,p5@PDE7A,5150,8791,,PDE7A,"phosphodiesterase 7A","gene with protein product"
112,T092263,1855,0.9224,p4@NLRP3,114548,16400,,NLRP3,"NLR family pyrin domain containing 3","gene with protein product"
113,T092268,1849,0.9213,p7@NLRP3,114548,16400,Q96P20,NLRP3,"NLR family pyrin domain containing 3","gene with protein product"
114,T117265,1845,0.9202,p44@CFLAR,8837,1876,,CFLAR,"CASP8 and FADD like apoptosis regulator","gene with protein product"
115,T117968,1841,0.9182,p3@C2orf67,151050,26310,,KANSL1L,"KAT8 regulatory NSL complex subunit 1 like","gene with protein product"
116,T027742,1843,0.9174,p1@FAM19A2,338811,21589,F8VWB2,FAM19A2,"family with sequence similarity 19 member A2, C-C motif chemokine like","gene with protein product"
117,T049698,1834,0.9129,p7@LYRM1,57149,25074,O43325,LYRM1,"LYR motif containing 1","gene with protein product"
118,T071144,1829,0.9122,p3@HAUS8,93323,30532,,HAUS8,"HAUS augmin like complex subunit 8","gene with protein product"
119,T135168,1832,0.9110,p10@CCRL2,9034,1612,O00421,CCRL2,"C-C motif chemokine receptor like 2","gene with protein product"
120,T084817,1823,0.9097,p4@FCGR2A,2212,3616,,FCGR2A,"Fc fragment of IgG receptor IIa","gene with protein product"
121,T008033,1821,0.9082,p4@IFIT5,24138,13328,Q13325,IFIT5,"interferon induced protein with tetratricopeptide repeats 5","gene with protein product"
122,T027737,1820,0.9077,p22@FAM19A2,338811,21589,,FAM19A2,"family with sequence similarity 19 member A2, C-C motif chemokine like","gene with protein product"
123,T010240,1811,0.9028,p8@FXYD2,486,4026,,FXYD2,"FXYD domain containing ion transport regulator 2","gene with protein product"
124,T021711,1811,0.9023,p12@TAOK3,51347,18133,F5GY38,TAOK3,"TAO kinase 3","gene with protein product"
125,T075138,1808,0.9008,p1@PLAUR,5329,9053,Q03405,PLAUR,"plasminogen activator, urokinase receptor","gene with protein product"
126,T090353,1807,0.9003,p21@CNIH3,149111,26802,,CNIH3,"cornichon family AMPA receptor auxiliary protein 3","gene with protein product"
127,T011291,1810,0.8996,p6@SLC37A2,219855,20644,Q8TED4,SLC37A2,"solute carrier family 37 member 2","gene with protein product"
128,T130346,1804,0.8989,p6@TSC22D2,9819,29095,O75157,TSC22D2,"TSC22 domain family member 2","gene with protein product"
129,T019573,1803,0.8952,p3@SLC36A4,120103,19660,,SLC36A4,"solute carrier family 36 member 4","gene with protein product"
130,T092264,1800,0.8951,p28@NLRP3,114548,16400,,NLRP3,"NLR family pyrin domain containing 3","gene with protein product"
131,T062915,1791,0.8937,p4@CD300E,342510,28874,Q496F6,CD300E,"CD300e molecule","gene with protein product"
132,T091736,1794,0.8925,p1@KMO,8564,6381,"Q9BS61,O15229",KMO,"kynurenine 3-monooxygenase","gene with protein product"
133,T007821,1795,0.8921,p3@LIPN,643418,23452,,LIPN,"lipase family member N","gene with protein product"
134,T063991,1791,0.8915,p3@SOCS3,9021,19391,"O14543,Q5U0H7,Q6FI39",SOCS3,"suppressor of cytokine signaling 3","gene with protein product"
135,T066952,1790,0.8892,p10@TGIF1,7050,11776,F8VXG3,TGIF1,"TGFB induced factor homeobox 1","gene with protein product"
136,T198337,1784,0.8884,p5@MECP2,4204,6990,,MECP2,"methyl-CpG binding protein 2","gene with protein product"
137,T139859,1782,0.8883,p10@SLC7A11,23657,11059,"Q9UPY5,A8K2U4",SLC7A11,"solute carrier family 7 member 11","gene with protein product"
138,T133990,1784,0.8876,p9@AZI2,64343,24002,C9JGA2,AZI2,"5-azacytidine induced 2","gene with protein product"
139,T110843,1780,0.8873,p3@LIMS1,3987,6616,P48059,LIMS1,"LIM zinc finger domain containing 1","gene with protein product"
140,T068385,1777,0.8854,p18@SERPINB2,5055,8584,E7ERB5,SERPINB2,"serpin family B member 2","gene with protein product"
141,T076508,1778,0.8837,p6@PPP1R15A,23645,14375,O75807,PPP1R15A,"protein phosphatase 1 regulatory subunit 15A","gene with protein product"
142,T091730,1774,0.8821,p3@KMO,8564,6381,O15229,KMO,"kynurenine 3-monooxygenase","gene with protein product"
143,T138597,1765,0.8812,p6@TET2,54790,25941,Q6N021,TET2,"tet methylcytosine dioxygenase 2","gene with protein product"
144,T150534,1772,0.8798,p2@SLC26A2,1836,10994,C9JAN6,SLC26A2,"solute carrier family 26 member 2","gene with protein product"
145,T149510,1768,0.8796,p1@HBEGF,1839,3059,Q99075,HBEGF,"heparin binding EGF like growth factor","gene with protein product"
146,T076236,1767,0.8795,p2@TICAM1,148022,18348,Q8IUC6,TICAM1,"toll like receptor adaptor molecule 1","gene with protein product"
147,T132223,1765,0.8785,p9@B3GNT5,84002,15684,,B3GNT5,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5","gene with protein product"
148,T133988,1764,0.8785,p8@AZI2,64343,24002,C9JGA2,AZI2,"5-azacytidine induced 2","gene with protein product"
149,T076507,1760,0.8778,p8@PPP1R15A,23645,14375,O75807,PPP1R15A,"protein phosphatase 1 regulatory subunit 15A","gene with protein product"
150,T063456,1765,0.8772,p15@SPHK1,8877,11240,"Q9NYA1,Q53ZR5,Q96GK1",SPHK1,"sphingosine kinase 1","gene with protein product"
151,T163702,1762,0.8771,p1@IER3,8870,5392,"P46695,Q5ST79",IER3,"immediate early response 3","gene with protein product"
152,T009797,1757,0.8750,p7@IL18,3606,5986,"Q14116,Q6WWJ7",IL18,"interleukin 18","gene with protein product"
153,T191218,1754,0.8748,p1@CAMSAP1,157922,19946,,CAMSAP1,"calmodulin regulated spectrin associated protein 1","gene with protein product"
154,T076501,1758,0.8746,p1@PPP1R15A,23645,14375,"F5GYI4,B4DMT2",PPP1R15A,"protein phosphatase 1 regulatory subunit 15A","gene with protein product"
155,T187881,1756,0.8745,p5@NR4A3,8013,7982,E9PBS2,NR4A3,"nuclear receptor subfamily 4 group A member 3","gene with protein product"
156,T124728,1753,0.8739,p8@MXD1,4084,6761,,MXD1,"MAX dimerization protein 1","gene with protein product"
157,T125344,1755,0.8736,p2@HK2,3099,4923,,HK2,"hexokinase 2","gene with protein product"
158,T062920,1755,0.8736,p6@CD300E,342510,28874,"Q496F6,B4E0V9",CD300E,"CD300e molecule","gene with protein product"
159,T077933,1753,0.8708,p9@LAIR1,3903,6477,,LAIR1,"leukocyte associated immunoglobulin like receptor 1","gene with protein product"
160,T022063,1744,0.8672,p2@P2RX4,5025,8535,Q2M238,P2RX4,"purinergic receptor P2X 4","gene with protein product"
161,T076110,1734,0.8648,p5@C5AR1,728,1338,P21730,C5AR1,"complement C5a receptor 1","gene with protein product"
162,T185519,1740,0.8644,p3@NSMAF,8439,8017,,NSMAF,"neutral sphingomyelinase activation associated factor","gene with protein product"
163,T131704,1737,0.8642,p7@PLD1,5337,9067,,PLD1,"phospholipase D1","gene with protein product"
164,T069469,1730,0.8628,p8@ICAM1,3383,5344,Q15463,ICAM1,"intercellular adhesion molecule 1","gene with protein product"
165,T170049,1731,0.8625,p1@ST7-AS1,93653,16000,,ST7-AS1,"ST7 antisense RNA 1","RNA, long non-coding"
166,T057440,1732,0.8617,p4@CCL3,6348,10627,P10147,CCL3,"C-C motif chemokine ligand 3","gene with protein product"
167,T105739,1723,0.8589,p8@PDXK,8566,8819,,PDXK,"pyridoxal kinase","gene with protein product"
168,T066786,1724,0.8577,p3@MAPRE2,10982,6891,"E9PHR3,Q15555",MAPRE2,"microtubule associated protein RP/EB family member 2","gene with protein product"
169,T089200,1717,0.8559,p9@TRAF3IP3,80342,30766,B1AJU2,TRAF3IP3,"TRAF3 interacting protein 3","gene with protein product"
170,T022697,1716,0.8542,p29@UBC,7316,12468,F5GZ39,UBC,"ubiquitin C","gene with protein product"
171,T161338,1713,0.8539,p3@TAGAP,117289,15669,,TAGAP,"T-cell activation RhoGTPase activating protein","gene with protein product"
172,T146348,1709,0.8524,p3@THAP9,79725,23192,Q9H5L6,THAP9,"THAP domain containing 9","gene with protein product"
173,T146403,1706,0.8500,p1@ACOX3,8310,121,D6RJ89,ACOX3,"acyl-CoA oxidase 3, pristanoyl","gene with protein product"
174,T065793,1706,0.8500,p2@CHMP1B,57132,24287,,CHMP1B,"charged multivesicular body protein 1B","gene with protein product"
175,T165214,1707,0.8488,p8@KCTD20,222658,21052,Q7Z5Y7,KCTD20,"potassium channel tetramerization domain containing 20","gene with protein product"
176,T135167,1693,0.8440,p12@CCRL2,9034,1612,O00421,CCRL2,"C-C motif chemokine receptor like 2","gene with protein product"
177,T185846,1697,0.8434,p6@BHLHE22,27319,11963,"B4DF88,Q8NFJ8",BHLHE22,"basic helix-loop-helix family member e22","gene with protein product"
178,T141376,1688,0.8419,p1@NAF1,92345,25126,"Q96HR8,E9PAZ2",NAF1,"nuclear assembly factor 1 ribonucleoprotein","gene with protein product"
179,T100451,1690,0.8412,p9@SRC,6714,11283,P12931,SRC,"SRC proto-oncogene, non-receptor tyrosine kinase","gene with protein product"
180,T158382,1684,0.8407,p8@HIVEP1,3096,4920,C9J2N3,HIVEP1,"human immunodeficiency virus type I enhancer binding protein 1","gene with protein product"
181,T135163,1681,0.8355,p5@CCRL2,9034,1612,"B2R8C0,O00421",CCRL2,"C-C motif chemokine receptor like 2","gene with protein product"
182,T010239,1676,0.8326,p4@FXYD2,486,4026,,FXYD2,"FXYD domain containing ion transport regulator 2","gene with protein product"
183,T130601,1674,0.8316,p4@RAP2B,5912,9862,"P61225,Q5JQ44",RAP2B,"RAP2B, member of RAS oncogene family","gene with protein product"
184,T028918,1665,0.8292,p1@THAP2,83591,20854,Q9H0W7,THAP2,"THAP domain containing 2","gene with protein product"
185,T007820,1664,0.8287,p1@LIPN,643418,23452,,LIPN,"lipase family member N","gene with protein product"
186,T141232,1663,0.8274,p14@FNIP2,57600,29280,D6RFH5,FNIP2,"folliculin interacting protein 2","gene with protein product"
187,T075137,1660,0.8267,p3@PLAUR,5329,9053,Q03405,PLAUR,"plasminogen activator, urokinase receptor","gene with protein product"
188,T058338,1658,0.8261,p1@KRTAP3-2,83897,16779,Q9BYR7,KRTAP3-2,"keratin associated protein 3-2","gene with protein product"
189,T110844,1658,0.8257,p10@LIMS1,3987,6616,P48059,LIMS1,"LIM zinc finger domain containing 1","gene with protein product"
190,T146349,1654,0.8253,p2@THAP9,79725,23192,,THAP9,"THAP domain containing 9","gene with protein product"
191,T076133,1657,0.8248,p4@DHX34,9704,16719,Q14147,DHX34,"DExH-box helicase 34","gene with protein product"
192,T092260,1651,0.8234,p1@NLRP3,114548,16400,"Q96P20,B2RC97",NLRP3,"NLR family pyrin domain containing 3","gene with protein product"
193,T072331,1649,0.8224,p5@GADD45B,4616,4096,,GADD45B,"growth arrest and DNA damage inducible beta","gene with protein product"
194,T007819,1650,0.8221,p2@LIPN,643418,23452,,LIPN,"lipase family member N","gene with protein product"
195,T126877,1649,0.8204,p13@NFKBIZ,64332,29805,,NFKBIZ,"NFKB inhibitor zeta","gene with protein product"
196,T003277,1648,0.8187,p3@ARL5B,221079,23052,Q96KC2,ARL5B,"ADP ribosylation factor like GTPase 5B","gene with protein product"
197,T026048,1643,0.8170,p7@NR4A1,3164,7980,"Q53Y00,Q6IBU8",NR4A1,"nuclear receptor subfamily 4 group A member 1","gene with protein product"
198,T092266,1642,0.8169,p10@NLRP3,114548,16400,Q96P20,NLRP3,"NLR family pyrin domain containing 3","gene with protein product"
199,T126004,1645,0.8156,p6@LINC00152,,28717,,CYTOR,"cytoskeleton regulator RNA","RNA, long non-coding"
200,T129737,1632,0.8144,p10@ATP1B3,483,806,C9JA36,ATP1B3,"ATPase Na+/K+ transporting subunit beta 3","gene with protein product"
201,T077934,1632,0.8115,p12@LAIR1,3903,6477,,LAIR1,"leukocyte associated immunoglobulin like receptor 1","gene with protein product"
202,T119769,1627,0.8103,p4@CCL20,6364,10619,,CCL20,"C-C motif chemokine ligand 20","gene with protein product"
203,T102002,1627,0.8103,p1@SNAI1,6615,11128,O95863,SNAI1,"snail family transcriptional repressor 1","gene with protein product"
204,T075125,1626,0.8098,p5@PLAUR,5329,9053,Q03405,PLAUR,"plasminogen activator, urokinase receptor","gene with protein product"
205,T188165,1624,0.8080,p3@FSD1L,83856,13753,Q8N450,FSD1L,"fibronectin type III and SPRY domain containing 1 like","gene with protein product"
206,T117264,1619,0.8063,p42@CFLAR,8837,1876,,CFLAR,"CASP8 and FADD like apoptosis regulator","gene with protein product"
207,T004056,1613,0.8029,p1@MAP3K8,1326,6860,Q5T857,MAP3K8,"mitogen-activated protein kinase kinase kinase 8","gene with protein product"
208,T086952,1608,0.8008,p1@PTGS2,5743,9605,P35354,PTGS2,"prostaglandin-endoperoxide synthase 2","gene with protein product"
209,T046981,1614,0.8006,p4@BCL2A1,597,991,Q86W13,BCL2A1,"BCL2 related protein A1","gene with protein product"
210,T119574,1599,0.7975,p16@DOCK10,55619,23479,,DOCK10,"dedicator of cytokinesis 10","gene with protein product"
211,T185517,1594,0.7938,p15@NSMAF,8439,8017,,NSMAF,"neutral sphingomyelinase activation associated factor","gene with protein product"
212,T159947,1593,0.7925,p1@CD83,9308,1703,Q01151,CD83,"CD83 molecule","gene with protein product"
213,T143719,1585,0.7901,p1@C4orf34,201895,27321,Q96QK8,SMIM14,"small integral membrane protein 14","gene with protein product"
214,T158888,1581,0.7881,p3@LAMA2,3908,6482,,LAMA2,"laminin subunit alpha 2","gene with protein product"
215,T187028,1571,0.7847,p2@RIPK2,8767,10020,,RIPK2,"receptor interacting serine/threonine kinase 2","gene with protein product"
216,T150399,1574,0.7839,p1@ADRB2,154,286,P07550,ADRB2,"adrenoceptor beta 2","gene with protein product"
217,T095445,1577,0.7830,p5@YIPF1,54432,25231,B7Z6F5,YIPF1,"Yip1 domain family member 1","gene with protein product"
